Date,Open,High,Low,Close,Adj Close,Volume,DAX_formula,counter
01/02/2015,180.5,180.699997,176,177.949997,117.201836,40817,9764.730469,-181
01/05/2015,177.550003,177.550003,171.949997,172.550003,113.645287,70150,9473.160156,-180
01/06/2015,173.550003,176.850006,170.699997,173.949997,114.567352,45334,9469.660156,-179
01/07/2015,175.699997,176.699997,173.600006,174.800003,115.12719,44881,9518.179688,-178
01/08/2015,177.149994,182.350006,176.050003,181.550003,119.572899,71332,9837.610352,-177
01/09/2015,180.600006,182.800003,176.350006,177.449997,116.872536,65330,9648.5,-176
01/12/2015,177.949997,179.050003,174.75,178.149994,117.333549,62249,9781.900391,-175
1/13/2015,177.699997,183.800003,177.550003,182.649994,120.297363,54672,9941,-174
1/14/2015,181.050003,183,179.100006,180.050003,118.584938,45063,9817.080078,-173
1/15/2015,182,184.149994,176.550003,183.149994,120.626686,65308,10032.61035,-172
1/16/2015,182.100006,188.449997,182,187.600006,123.557571,79451,10167.76953,-171
1/19/2015,188.5,189,185.699997,187.350006,123.392883,104864,10242.34961,-170
1/20/2015,188.949997,189.350006,187.699997,189.100006,124.545486,64093,10257.12988,-169
1/21/2015,188.75,190,185.899994,189.949997,125.105301,100586,10299.23047,-168
1/22/2015,189.949997,195.399994,189.75,194.5,128.102005,116547,10435.62012,-167
1/23/2015,195,201.050003,195,199.699997,131.526871,134259,10649.58008,-166
1/26/2015,196.199997,201.949997,193.800003,201.300003,132.580688,111907,10798.33008,-165
1/27/2015,201,201.699997,197.800003,199.149994,131.164627,84861,10628.58008,-164
1/28/2015,199.899994,201.850006,197.800003,201.850006,132.942917,86681,10710.96973,-163
1/29/2015,201,203.100006,200,202.25,133.206345,72101,10737.87012,-162
1/30/2015,203,203,196.949997,197.149994,129.847382,126135,10694.32031,-161
02/02/2015,198.350006,202.25,198.350006,202.199997,133.173431,96380,10828.00977,-160
02/03/2015,203.350006,208.850006,202.899994,206.649994,136.104294,100955,10890.9502,-159
02/04/2015,206.25,208.449997,205.600006,208.300003,137.191025,64836,10911.32031,-158
02/05/2015,206.800003,211.800003,206.600006,209.699997,138.113083,78803,10905.41016,-157
02/06/2015,209.699997,211.899994,207.550003,211.699997,139.430344,62313,10846.38965,-156
02/09/2015,209.399994,209.399994,203.899994,204.75,134.852905,71516,10663.50977,-155
02/10/2015,204.75,207.399994,201.699997,207.399994,136.598236,65731,10753.83008,-154
02/11/2015,205.5,207.800003,205.050003,207.800003,136.861725,44772,10752.11035,-153
02/12/2015,208.649994,212.100006,207.850006,212,139.627914,87890,10919.65039,-152
2/13/2015,211.699997,212.399994,208.600006,209.699997,138.113083,96213,10963.40039,-151
2/16/2015,211.449997,211.449997,208.600006,209.300003,137.84964,51255,10923.23047,-150
