Price,Close,High,Low,Open,Volume
Ticker,NAS.OL,NAS.OL,NAS.OL,NAS.OL,NAS.OL
Date,,,,,
2020-06-12,139.6547393798828,146.63746696517853,121.97691988274552,132.00907515695909,1602194
2020-06-15,120.20914459228516,123.74469853959107,109.42567221005625,123.74469853959107,2097783
2020-06-16,133.0697479248047,136.1191611141525,125.51247829726252,125.51247829726252,1184714
2020-06-17,141.42251586914062,157.06737911566998,137.88695477696953,150.26142581779806,2339995
2020-06-18,135.1468963623047,143.1902994145643,132.58360201410235,143.1902994145643,842079
2020-06-19,129.9319305419922,140.9805715061254,127.45704501380203,138.77084042600688,756143
2020-06-22,126.61734771728516,132.58360427965033,123.74469444038179,129.93192988422385,598279
2020-06-23,122.46305847167969,129.93193413780207,122.46305847167969,128.3851252262037,441906
2020-06-24,125.51248168945312,126.83831166372516,122.55144842076565,122.94920174398501,370074
2020-06-25,127.23606872558594,127.28027316488198,121.09303034532833,125.73346426455102,343142
2020-06-26,121.57917022705078,129.8877424651464,121.57917022705078,128.1641591266089,342920
2020-06-29,117.11552429199219,121.84433815320509,116.18743318970832,121.66756370778035,466234
2020-06-30,120.03236389160156,126.79412738198235,117.82263994990265,124.36343176793653,522287
2020-07-01,120.65108489990234,123.6563154241625,120.03235990693265,121.13722545021928,239131
2020-07-02,121.8885269165039,122.8608080111463,120.03235916726268,122.8608080111463,283356
2020-07-03,121.53498077392578,123.65631745474558,120.0323618780061,122.8608107857658,197541
2020-07-06,121.31400299072266,123.744698586106,120.56270075415756,122.06531966374749,297499
2020-07-07,119.7671890258789,122.37467339696045,118.70652072056095,122.02111007695824,225816
2020-07-08,117.11552429199219,120.20914205099254,111.37023210578305,119.76719150097126,395562
2020-07-09,116.67357635498047,118.88330749988661,115.43613355460451,117.73424470597266,168099
2020-07-10,119.32524871826172,121.26981093626014,114.4638503914954,116.67357427885109,239459
2020-07-13,125.91024017333984,126.30799351286188,121.31400342185155,122.639847886925,301097
